item,title,category,price,available,link,image,description
SM013,HomePilot RGBW Light Strip Flex,Smart Home > Beleuchtung,44.01,false,https://mysmartshop.de/products/homepilot-rgbw-light-strip-flex,https://loremflickr.com/800/800/lighting?lock=13,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM014,EcoPulse Dimmer Bulb Max,Smart Home > Beleuchtung,49.43,true,https://mysmartshop.de/products/ecopulse-dimmer-bulb-max,https://loremflickr.com/800/800/lighting?lock=14,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM015,NovaLink Outdoor Smart Light Lite,Smart Home > Beleuchtung,47.93,true,https://mysmartshop.de/products/novalink-outdoor-smart-light-lite,https://loremflickr.com/800/800/lighting?lock=15,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM016,Shelvia Smart Bulb E27 Plus,Smart Home > Beleuchtung,12.29,true,https://mysmartshop.de/products/shelvia-smart-bulb-e27-plus,https://loremflickr.com/800/800/lighting?lock=16,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM017,MeterIQ GU10 Smart Spot Ultra,Smart Home > Beleuchtung,33.17,true,https://mysmartshop.de/products/meteriq-gu10-smart-spot-ultra,https://loremflickr.com/800/800/lighting?lock=17,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM018,VoltEdge RGBW Light Strip Flex,Smart Home > Beleuchtung,46.69,true,https://mysmartshop.de/products/voltedge-rgbw-light-strip-flex,https://loremflickr.com/800/800/lighting?lock=18,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM019,Sensorix Dimmer Bulb Max,Smart Home > Beleuchtung,37.79,true,https://mysmartshop.de/products/sensorix-dimmer-bulb-max,https://loremflickr.com/800/800/lighting?lock=19,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM020,Airwise Outdoor Smart Light Lite,Smart Home > Beleuchtung,40.83,true,https://mysmartshop.de/products/airwise-outdoor-smart-light-lite,https://loremflickr.com/800/800/lighting?lock=20,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM021,SmartFlow Temperatursensor Plus,IoT > Sensoren,38.92,true,https://mysmartshop.de/products/smartflow-temperatursensor-plus,https://loremflickr.com/800/800/sensor?lock=21,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM022,GridSense Feuchtigkeitssensor Ultra,IoT > Sensoren,121.46,true,https://mysmartshop.de/products/gridsense-feuchtigkeitssensor-ultra,https://loremflickr.com/800/800/sensor?lock=22,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM023,HomePilot CO2 Sensor Flex,IoT > Sensoren,85.02,true,https://mysmartshop.de/products/homepilot-co2-sensor-flex,https://loremflickr.com/800/800/sensor?lock=23,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM024,EcoPulse Bewegungssensor Max,IoT > Sensoren,61.51,true,https://mysmartshop.de/products/ecopulse-bewegungssensor-max,https://loremflickr.com/800/800/sensor?lock=24,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM025,NovaLink Tür-/Fenstersensor Lite,IoT > Sensoren,17.65,true,https://mysmartshop.de/products/novalink-tür-fenstersensor-lite,https://loremflickr.com/800/800/sensor?lock=25,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM026,Shelvia Temperatursensor Plus,IoT > Sensoren,24.75,false,https://mysmartshop.de/products/shelvia-temperatursensor-plus,https://loremflickr.com/800/800/sensor?lock=26,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM027,MeterIQ Feuchtigkeitssensor Ultra,IoT > Sensoren,81.17,true,https://mysmartshop.de/products/meteriq-feuchtigkeitssensor-ultra,https://loremflickr.com/800/800/sensor?lock=27,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM028,VoltEdge CO2 Sensor Flex,IoT > Sensoren,56.80,true,https://mysmartshop.de/products/voltedge-co2-sensor-flex,https://loremflickr.com/800/800/sensor?lock=28,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM029,Sensorix Bewegungssensor Max,IoT > Sensoren,70.38,true,https://mysmartshop.de/products/sensorix-bewegungssensor-max,https://loremflickr.com/800/800/sensor?lock=29,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM030,Airwise Tür-/Fenstersensor Lite,IoT > Sensoren,97.97,true,https://mysmartshop.de/products/airwise-tür-fenstersensor-lite,https://loremflickr.com/800/800/sensor?lock=30,"Sensor für smarte Automationen und die zuverlässige Erfassung von Umgebungsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM031,SmartFlow Smart Meter Reader Plus,Smart Metering > Stromzähler,43.29,true,https://mysmartshop.de/products/smartflow-smart-meter-reader-plus,https://loremflickr.com/800/800/electricity?lock=31,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM032,GridSense 3-Phasen Energiezähler Ultra,Smart Metering > Stromzähler,55.51,true,https://mysmartshop.de/products/gridsense-3-phasen-energiezähler-ultra,https://loremflickr.com/800/800/electricity?lock=32,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM033,HomePilot DIN Energiezähler Flex,Smart Metering > Stromzähler,114.57,true,https://mysmartshop.de/products/homepilot-din-energiezähler-flex,https://loremflickr.com/800/800/electricity?lock=33,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM034,EcoPulse Pulse Reader Max,Smart Metering > Stromzähler,116.27,true,https://mysmartshop.de/products/ecopulse-pulse-reader-max,https://loremflickr.com/800/800/electricity?lock=34,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM035,NovaLink Power Monitor Lite,Smart Metering > Stromzähler,174.35,true,https://mysmartshop.de/products/novalink-power-monitor-lite,https://loremflickr.com/800/800/electricity?lock=35,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM036,Shelvia Smart Meter Reader Plus,Smart Metering > Stromzähler,140.32,true,https://mysmartshop.de/products/shelvia-smart-meter-reader-plus,https://loremflickr.com/800/800/electricity?lock=36,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM037,MeterIQ 3-Phasen Energiezähler Ultra,Smart Metering > Stromzähler,95.88,true,https://mysmartshop.de/products/meteriq-3-phasen-energiezähler-ultra,https://loremflickr.com/800/800/electricity?lock=37,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM038,VoltEdge DIN Energiezähler Flex,Smart Metering > Stromzähler,99.53,true,https://mysmartshop.de/products/voltedge-din-energiezähler-flex,https://loremflickr.com/800/800/electricity?lock=38,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM039,Sensorix Pulse Reader Max,Smart Metering > Stromzähler,140.82,false,https://mysmartshop.de/products/sensorix-pulse-reader-max,https://loremflickr.com/800/800/electricity?lock=39,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM040,Airwise Power Monitor Lite,Smart Metering > Stromzähler,75.11,true,https://mysmartshop.de/products/airwise-power-monitor-lite,https://loremflickr.com/800/800/electricity?lock=40,"Gerät zur Erfassung, Visualisierung und Optimierung des Stromverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM041,SmartFlow Wasserzähler Reader Plus,Smart Metering > Wasser,124.64,true,https://mysmartshop.de/products/smartflow-wasserzähler-reader-plus,https://loremflickr.com/800/800/water?lock=41,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM042,GridSense Impulsmodul Wasser Ultra,Smart Metering > Wasser,159.02,true,https://mysmartshop.de/products/gridsense-impulsmodul-wasser-ultra,https://loremflickr.com/800/800/water?lock=42,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM043,HomePilot Leak Sensor Flex,Smart Metering > Wasser,66.73,true,https://mysmartshop.de/products/homepilot-leak-sensor-flex,https://loremflickr.com/800/800/water?lock=43,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM044,EcoPulse Flow Sensor Max,Smart Metering > Wasser,172.45,true,https://mysmartshop.de/products/ecopulse-flow-sensor-max,https://loremflickr.com/800/800/water?lock=44,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM045,NovaLink Wassermonitor Lite,Smart Metering > Wasser,88.96,true,https://mysmartshop.de/products/novalink-wassermonitor-lite,https://loremflickr.com/800/800/water?lock=45,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM046,Shelvia Wasserzähler Reader Plus,Smart Metering > Wasser,117.38,true,https://mysmartshop.de/products/shelvia-wasserzähler-reader-plus,https://loremflickr.com/800/800/water?lock=46,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM047,MeterIQ Impulsmodul Wasser Ultra,Smart Metering > Wasser,76.35,true,https://mysmartshop.de/products/meteriq-impulsmodul-wasser-ultra,https://loremflickr.com/800/800/water?lock=47,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM048,VoltEdge Leak Sensor Flex,Smart Metering > Wasser,105.42,true,https://mysmartshop.de/products/voltedge-leak-sensor-flex,https://loremflickr.com/800/800/water?lock=48,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM049,Sensorix Flow Sensor Max,Smart Metering > Wasser,53.50,true,https://mysmartshop.de/products/sensorix-flow-sensor-max,https://loremflickr.com/800/800/water?lock=49,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM050,Airwise Wassermonitor Lite,Smart Metering > Wasser,165.94,true,https://mysmartshop.de/products/airwise-wassermonitor-lite,https://loremflickr.com/800/800/water?lock=50,"Lösung zur Überwachung von Wasserverbrauch und Leckagen in Echtzeit. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM051,SmartFlow Gasmonitor WLAN Plus,Smart Metering > Gas,155.00,true,https://mysmartshop.de/products/smartflow-gasmonitor-wlan-plus,https://loremflickr.com/800/800/gas?lock=51,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM052,GridSense Impulsnehmer Gas Ultra,Smart Metering > Gas,161.32,false,https://mysmartshop.de/products/gridsense-impulsnehmer-gas-ultra,https://loremflickr.com/800/800/gas?lock=52,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM053,HomePilot Gaszähler Reader Flex,Smart Metering > Gas,60.32,true,https://mysmartshop.de/products/homepilot-gaszähler-reader-flex,https://loremflickr.com/800/800/gas?lock=53,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM054,EcoPulse Gas Leak Sensor Max,Smart Metering > Gas,56.16,true,https://mysmartshop.de/products/ecopulse-gas-leak-sensor-max,https://loremflickr.com/800/800/gas?lock=54,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM055,NovaLink Pulse Adapter Gas Lite,Smart Metering > Gas,142.79,true,https://mysmartshop.de/products/novalink-pulse-adapter-gas-lite,https://loremflickr.com/800/800/gas?lock=55,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM056,Shelvia Gasmonitor WLAN Plus,Smart Metering > Gas,92.33,true,https://mysmartshop.de/products/shelvia-gasmonitor-wlan-plus,https://loremflickr.com/800/800/gas?lock=56,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM057,MeterIQ Impulsnehmer Gas Ultra,Smart Metering > Gas,150.38,true,https://mysmartshop.de/products/meteriq-impulsnehmer-gas-ultra,https://loremflickr.com/800/800/gas?lock=57,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM058,VoltEdge Gaszähler Reader Flex,Smart Metering > Gas,61.01,true,https://mysmartshop.de/products/voltedge-gaszähler-reader-flex,https://loremflickr.com/800/800/gas?lock=58,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM059,Sensorix Gas Leak Sensor Max,Smart Metering > Gas,156.39,true,https://mysmartshop.de/products/sensorix-gas-leak-sensor-max,https://loremflickr.com/800/800/gas?lock=59,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM060,Airwise Pulse Adapter Gas Lite,Smart Metering > Gas,178.72,true,https://mysmartshop.de/products/airwise-pulse-adapter-gas-lite,https://loremflickr.com/800/800/gas?lock=60,"Produkt zur digitalen Erfassung und Überwachung von Gasverbrauchsdaten. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM061,SmartFlow Mikrowechselrichter Plus,Energie > Balkonkraftwerk,342.07,true,https://mysmartshop.de/products/smartflow-mikrowechselrichter-plus,https://loremflickr.com/800/800/solar?lock=61,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM062,GridSense PV Gateway Ultra,Energie > Balkonkraftwerk,239.30,true,https://mysmartshop.de/products/gridsense-pv-gateway-ultra,https://loremflickr.com/800/800/solar?lock=62,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM063,HomePilot Solar Monitor Flex,Energie > Balkonkraftwerk,163.01,true,https://mysmartshop.de/products/homepilot-solar-monitor-flex,https://loremflickr.com/800/800/solar?lock=63,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM064,EcoPulse Batterie Connector Max,Energie > Balkonkraftwerk,333.50,true,https://mysmartshop.de/products/ecopulse-batterie-connector-max,https://loremflickr.com/800/800/solar?lock=64,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM065,NovaLink Einspeise Controller Lite,Energie > Balkonkraftwerk,187.61,false,https://mysmartshop.de/products/novalink-einspeise-controller-lite,https://loremflickr.com/800/800/solar?lock=65,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM066,Shelvia Mikrowechselrichter Plus,Energie > Balkonkraftwerk,151.19,true,https://mysmartshop.de/products/shelvia-mikrowechselrichter-plus,https://loremflickr.com/800/800/solar?lock=66,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM067,MeterIQ PV Gateway Ultra,Energie > Balkonkraftwerk,274.48,true,https://mysmartshop.de/products/meteriq-pv-gateway-ultra,https://loremflickr.com/800/800/solar?lock=67,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM068,VoltEdge Solar Monitor Flex,Energie > Balkonkraftwerk,98.85,true,https://mysmartshop.de/products/voltedge-solar-monitor-flex,https://loremflickr.com/800/800/solar?lock=68,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM069,Sensorix Batterie Connector Max,Energie > Balkonkraftwerk,325.25,true,https://mysmartshop.de/products/sensorix-batterie-connector-max,https://loremflickr.com/800/800/solar?lock=69,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM070,Airwise Einspeise Controller Lite,Energie > Balkonkraftwerk,198.94,true,https://mysmartshop.de/products/airwise-einspeise-controller-lite,https://loremflickr.com/800/800/solar?lock=70,"Komponente für kleine PV-Anlagen und Balkonkraftwerke mit smarter Auswertung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM071,SmartFlow Wallbox Controller Plus,Energie > Wallbox & Laden,286.46,true,https://mysmartshop.de/products/smartflow-wallbox-controller-plus,https://loremflickr.com/800/800/ev?lock=71,"Smarte Lösung zum Laden von Elektrofahrzeugen und zur Laststeuerung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM072,GridSense Ladekabel Typ 2 Ultra,Energie > Wallbox & Laden,103.46,true,https://mysmartshop.de/products/gridsense-ladekabel-typ-2-ultra,https://loremflickr.com/800/800/ev?lock=72,"Smarte Lösung zum Laden von Elektrofahrzeugen und zur Laststeuerung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM073,HomePilot EV Smart Plug Flex,Energie > Wallbox & Laden,338.72,true,https://mysmartshop.de/products/homepilot-ev-smart-plug-flex,https://loremflickr.com/800/800/ev?lock=73,"Smarte Lösung zum Laden von Elektrofahrzeugen und zur Laststeuerung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM074,EcoPulse Lademanager Max,Energie > Wallbox & Laden,118.45,true,https://mysmartshop.de/products/ecopulse-lademanager-max,https://loremflickr.com/800/800/ev?lock=74,"Smarte Lösung zum Laden von Elektrofahrzeugen und zur Laststeuerung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM075,NovaLink Charging Sensor Lite,Energie > Wallbox & Laden,364.23,true,https://mysmartshop.de/products/novalink-charging-sensor-lite,https://loremflickr.com/800/800/ev?lock=75,"Smarte Lösung zum Laden von Elektrofahrzeugen und zur Laststeuerung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM076,Shelvia Wallbox Controller Plus,Energie > Wallbox & Laden,337.78,true,https://mysmartshop.de/products/shelvia-wallbox-controller-plus,https://loremflickr.com/800/800/ev?lock=76,"Smarte Lösung zum Laden von Elektrofahrzeugen und zur Laststeuerung. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
