item,group_id,link,title,image,category,price,msrp,available,description,zoom_image,c_sustainable
SM029,GRP_6,https://mysmartshop.de/products/demo-sm029,Demo Produkt SM029,https://loremflickr.com/800/800/technology?lock=29,IoT > Sensoren,232.65,267.55,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=29,false
SM030,GRP_6,https://mysmartshop.de/products/demo-sm030,Demo Produkt SM030,https://loremflickr.com/800/800/technology?lock=30,IoT > Sensoren,234.33,269.48,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=30,true
SM031,GRP_7,https://mysmartshop.de/products/demo-sm031,Demo Produkt SM031,https://loremflickr.com/800/800/technology?lock=31,Smart Metering > Stromzähler,196.12,225.54,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=31,false
SM032,GRP_7,https://mysmartshop.de/products/demo-sm032,Demo Produkt SM032,https://loremflickr.com/800/800/technology?lock=32,Smart Metering > Stromzähler,191.55,220.28,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=32,false
SM033,GRP_7,https://mysmartshop.de/products/demo-sm033,Demo Produkt SM033,https://loremflickr.com/800/800/technology?lock=33,Smart Metering > Stromzähler,241.71,277.97,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=33,true
SM034,GRP_7,https://mysmartshop.de/products/demo-sm034,Demo Produkt SM034,https://loremflickr.com/800/800/technology?lock=34,Smart Metering > Stromzähler,150.73,173.34,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=34,false
SM035,GRP_7,https://mysmartshop.de/products/demo-sm035,Demo Produkt SM035,https://loremflickr.com/800/800/technology?lock=35,Smart Metering > Stromzähler,57.23,65.81,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=35,false
SM036,GRP_8,https://mysmartshop.de/products/demo-sm036,Demo Produkt SM036,https://loremflickr.com/800/800/technology?lock=36,Smart Metering > Stromzähler,38.72,44.53,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=36,true
SM037,GRP_8,https://mysmartshop.de/products/demo-sm037,Demo Produkt SM037,https://loremflickr.com/800/800/technology?lock=37,Smart Metering > Stromzähler,125.5,144.32,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=37,false
SM038,GRP_8,https://mysmartshop.de/products/demo-sm038,Demo Produkt SM038,https://loremflickr.com/800/800/technology?lock=38,Smart Metering > Stromzähler,75.2,86.48,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=38,false
SM039,GRP_8,https://mysmartshop.de/products/demo-sm039,Demo Produkt SM039,https://loremflickr.com/800/800/technology?lock=39,Smart Metering > Stromzähler,294.32,338.47,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=39,true
SM040,GRP_8,https://mysmartshop.de/products/demo-sm040,Demo Produkt SM040,https://loremflickr.com/800/800/technology?lock=40,Smart Metering > Stromzähler,193.99,223.09,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=40,false
SM041,GRP_9,https://mysmartshop.de/products/demo-sm041,Demo Produkt SM041,https://loremflickr.com/800/800/technology?lock=41,Smart Metering > Wasser,11.44,13.16,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=41,false
SM042,GRP_9,https://mysmartshop.de/products/demo-sm042,Demo Produkt SM042,https://loremflickr.com/800/800/technology?lock=42,Smart Metering > Wasser,290.1,333.62,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=42,true
SM043,GRP_9,https://mysmartshop.de/products/demo-sm043,Demo Produkt SM043,https://loremflickr.com/800/800/technology?lock=43,Smart Metering > Wasser,284.93,327.67,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=43,false
SM044,GRP_9,https://mysmartshop.de/products/demo-sm044,Demo Produkt SM044,https://loremflickr.com/800/800/technology?lock=44,Smart Metering > Wasser,159.91,183.9,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=44,false
SM045,GRP_9,https://mysmartshop.de/products/demo-sm045,Demo Produkt SM045,https://loremflickr.com/800/800/technology?lock=45,Smart Metering > Wasser,111.18,127.86,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=45,true
SM046,GRP_10,https://mysmartshop.de/products/demo-sm046,Demo Produkt SM046,https://loremflickr.com/800/800/technology?lock=46,Smart Metering > Wasser,206.47,237.44,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=46,false
SM047,GRP_10,https://mysmartshop.de/products/demo-sm047,Demo Produkt SM047,https://loremflickr.com/800/800/technology?lock=47,Smart Metering > Wasser,106.68,122.68,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=47,false
SM048,GRP_10,https://mysmartshop.de/products/demo-sm048,Demo Produkt SM048,https://loremflickr.com/800/800/technology?lock=48,Smart Metering > Wasser,66.52,76.5,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=48,true
SM049,GRP_10,https://mysmartshop.de/products/demo-sm049,Demo Produkt SM049,https://loremflickr.com/800/800/technology?lock=49,Smart Metering > Wasser,112.72,129.63,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=49,false
SM050,GRP_10,https://mysmartshop.de/products/demo-sm050,Demo Produkt SM050,https://loremflickr.com/800/800/technology?lock=50,Smart Metering > Wasser,200.18,230.21,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=50,false
SM051,GRP_11,https://mysmartshop.de/products/demo-sm051,Demo Produkt SM051,https://loremflickr.com/800/800/technology?lock=51,Smart Metering > Gas,71.69,82.44,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=51,true
SM052,GRP_11,https://mysmartshop.de/products/demo-sm052,Demo Produkt SM052,https://loremflickr.com/800/800/technology?lock=52,Smart Metering > Gas,139.23,160.11,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=52,false
SM053,GRP_11,https://mysmartshop.de/products/demo-sm053,Demo Produkt SM053,https://loremflickr.com/800/800/technology?lock=53,Smart Metering > Gas,88.48,101.75,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=53,false
SM054,GRP_11,https://mysmartshop.de/products/demo-sm054,Demo Produkt SM054,https://loremflickr.com/800/800/technology?lock=54,Smart Metering > Gas,179.05,205.91,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=54,true
SM055,GRP_11,https://mysmartshop.de/products/demo-sm055,Demo Produkt SM055,https://loremflickr.com/800/800/technology?lock=55,Smart Metering > Gas,231.21,265.89,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=55,false
SM056,GRP_12,https://mysmartshop.de/products/demo-sm056,Demo Produkt SM056,https://loremflickr.com/800/800/technology?lock=56,Smart Metering > Gas,82.54,94.92,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=56,false
SM057,GRP_12,https://mysmartshop.de/products/demo-sm057,Demo Produkt SM057,https://loremflickr.com/800/800/technology?lock=57,Smart Metering > Gas,97.92,112.61,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=57,true
SM058,GRP_12,https://mysmartshop.de/products/demo-sm058,Demo Produkt SM058,https://loremflickr.com/800/800/technology?lock=58,Smart Metering > Gas,283.38,325.89,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=58,false
SM059,GRP_12,https://mysmartshop.de/products/demo-sm059,Demo Produkt SM059,https://loremflickr.com/800/800/technology?lock=59,Smart Metering > Gas,195.99,225.39,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=59,false
SM060,GRP_12,https://mysmartshop.de/products/demo-sm060,Demo Produkt SM060,https://loremflickr.com/800/800/technology?lock=60,Smart Metering > Gas,182.33,209.68,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=60,true
SM061,GRP_13,https://mysmartshop.de/products/demo-sm061,Demo Produkt SM061,https://loremflickr.com/800/800/technology?lock=61,Energie > Balkonkraftwerk,22.25,25.59,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=61,false
SM062,GRP_13,https://mysmartshop.de/products/demo-sm062,Demo Produkt SM062,https://loremflickr.com/800/800/technology?lock=62,Energie > Balkonkraftwerk,75.15,86.42,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=62,false
SM063,GRP_13,https://mysmartshop.de/products/demo-sm063,Demo Produkt SM063,https://loremflickr.com/800/800/technology?lock=63,Energie > Balkonkraftwerk,234.94,270.18,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=63,true
SM064,GRP_13,https://mysmartshop.de/products/demo-sm064,Demo Produkt SM064,https://loremflickr.com/800/800/technology?lock=64,Energie > Balkonkraftwerk,138.11,158.83,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=64,false
SM065,GRP_13,https://mysmartshop.de/products/demo-sm065,Demo Produkt SM065,https://loremflickr.com/800/800/technology?lock=65,Energie > Balkonkraftwerk,43.33,49.83,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=65,false
SM066,GRP_14,https://mysmartshop.de/products/demo-sm066,Demo Produkt SM066,https://loremflickr.com/800/800/technology?lock=66,Energie > Balkonkraftwerk,105.94,121.83,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=66,true
SM067,GRP_14,https://mysmartshop.de/products/demo-sm067,Demo Produkt SM067,https://loremflickr.com/800/800/technology?lock=67,Energie > Balkonkraftwerk,185.75,213.61,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=67,false
SM068,GRP_14,https://mysmartshop.de/products/demo-sm068,Demo Produkt SM068,https://loremflickr.com/800/800/technology?lock=68,Energie > Balkonkraftwerk,143.2,164.68,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=68,false
SM069,GRP_14,https://mysmartshop.de/products/demo-sm069,Demo Produkt SM069,https://loremflickr.com/800/800/technology?lock=69,Energie > Balkonkraftwerk,87.01,100.06,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=69,true
SM070,GRP_14,https://mysmartshop.de/products/demo-sm070,Demo Produkt SM070,https://loremflickr.com/800/800/technology?lock=70,Energie > Balkonkraftwerk,80.73,92.84,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=70,false
SM071,GRP_15,https://mysmartshop.de/products/demo-sm071,Demo Produkt SM071,https://loremflickr.com/800/800/technology?lock=71,Energie > Wallbox,56.07,64.48,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=71,false
SM072,GRP_15,https://mysmartshop.de/products/demo-sm072,Demo Produkt SM072,https://loremflickr.com/800/800/technology?lock=72,Energie > Wallbox,77.71,89.37,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=72,true
SM073,GRP_15,https://mysmartshop.de/products/demo-sm073,Demo Produkt SM073,https://loremflickr.com/800/800/technology?lock=73,Energie > Wallbox,120.32,138.37,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=73,false
SM074,GRP_15,https://mysmartshop.de/products/demo-sm074,Demo Produkt SM074,https://loremflickr.com/800/800/technology?lock=74,Energie > Wallbox,185.64,213.49,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=74,false
SM075,GRP_15,https://mysmartshop.de/products/demo-sm075,Demo Produkt SM075,https://loremflickr.com/800/800/technology?lock=75,Energie > Wallbox,188.9,217.23,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=75,true
SM076,GRP_16,https://mysmartshop.de/products/demo-sm076,Demo Produkt SM076,https://loremflickr.com/800/800/technology?lock=76,Energie > Wallbox,296.47,340.94,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=76,false
SM077,GRP_16,https://mysmartshop.de/products/demo-sm077,Demo Produkt SM077,https://loremflickr.com/800/800/technology?lock=77,Energie > Wallbox,234.75,269.96,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=77,false
SM078,GRP_16,https://mysmartshop.de/products/demo-sm078,Demo Produkt SM078,https://loremflickr.com/800/800/technology?lock=78,Energie > Wallbox,104.49,120.16,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=78,true
SM079,GRP_16,https://mysmartshop.de/products/demo-sm079,Demo Produkt SM079,https://loremflickr.com/800/800/technology?lock=79,Energie > Wallbox,12.84,14.77,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=79,false
SM080,GRP_16,https://mysmartshop.de/products/demo-sm080,Demo Produkt SM080,https://loremflickr.com/800/800/technology?lock=80,Energie > Wallbox,146.85,168.88,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=80,false
SM081,GRP_17,https://mysmartshop.de/products/demo-sm081,Demo Produkt SM081,https://loremflickr.com/800/800/technology?lock=81,Smart Home > Luftqualität,82.29,94.63,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=81,true
SM082,GRP_17,https://mysmartshop.de/products/demo-sm082,Demo Produkt SM082,https://loremflickr.com/800/800/technology?lock=82,Smart Home > Luftqualität,249.29,286.68,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=82,false
SM083,GRP_17,https://mysmartshop.de/products/demo-sm083,Demo Produkt SM083,https://loremflickr.com/800/800/technology?lock=83,Smart Home > Luftqualität,151.28,173.97,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=83,false
SM084,GRP_17,https://mysmartshop.de/products/demo-sm084,Demo Produkt SM084,https://loremflickr.com/800/800/technology?lock=84,Smart Home > Luftqualität,46.54,53.52,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=84,true
SM085,GRP_17,https://mysmartshop.de/products/demo-sm085,Demo Produkt SM085,https://loremflickr.com/800/800/technology?lock=85,Smart Home > Luftqualität,163.07,187.53,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=85,false
SM086,GRP_18,https://mysmartshop.de/products/demo-sm086,Demo Produkt SM086,https://loremflickr.com/800/800/technology?lock=86,Smart Home > Luftqualität,116.67,134.17,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=86,false
SM087,GRP_18,https://mysmartshop.de/products/demo-sm087,Demo Produkt SM087,https://loremflickr.com/800/800/technology?lock=87,Smart Home > Luftqualität,99.78,114.75,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=87,true
SM088,GRP_18,https://mysmartshop.de/products/demo-sm088,Demo Produkt SM088,https://loremflickr.com/800/800/technology?lock=88,Smart Home > Luftqualität,150.66,173.26,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=88,false
SM089,GRP_18,https://mysmartshop.de/products/demo-sm089,Demo Produkt SM089,https://loremflickr.com/800/800/technology?lock=89,Smart Home > Luftqualität,210.45,242.02,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=89,false
SM090,GRP_18,https://mysmartshop.de/products/demo-sm090,Demo Produkt SM090,https://loremflickr.com/800/800/technology?lock=90,Smart Home > Luftqualität,184.44,212.11,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=90,true
SM091,GRP_19,https://mysmartshop.de/products/demo-sm091,Demo Produkt SM091,https://loremflickr.com/800/800/technology?lock=91,Messtechnik > Gateways,120.96,139.1,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=91,false
SM092,GRP_19,https://mysmartshop.de/products/demo-sm092,Demo Produkt SM092,https://loremflickr.com/800/800/technology?lock=92,Messtechnik > Gateways,156.94,180.48,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=92,false
SM093,GRP_19,https://mysmartshop.de/products/demo-sm093,Demo Produkt SM093,https://loremflickr.com/800/800/technology?lock=93,Messtechnik > Gateways,91.89,105.67,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=93,true
SM094,GRP_19,https://mysmartshop.de/products/demo-sm094,Demo Produkt SM094,https://loremflickr.com/800/800/technology?lock=94,Messtechnik > Gateways,278.39,320.15,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=94,false
SM095,GRP_19,https://mysmartshop.de/products/demo-sm095,Demo Produkt SM095,https://loremflickr.com/800/800/technology?lock=95,Messtechnik > Gateways,214.18,246.31,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=95,false
SM096,GRP_20,https://mysmartshop.de/products/demo-sm096,Demo Produkt SM096,https://loremflickr.com/800/800/technology?lock=96,Messtechnik > Gateways,86.61,99.6,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=96,true
SM097,GRP_20,https://mysmartshop.de/products/demo-sm097,Demo Produkt SM097,https://loremflickr.com/800/800/technology?lock=97,Messtechnik > Gateways,52.96,60.9,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=97,false
SM098,GRP_20,https://mysmartshop.de/products/demo-sm098,Demo Produkt SM098,https://loremflickr.com/800/800/technology?lock=98,Messtechnik > Gateways,164.2,188.83,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=98,false
SM099,GRP_20,https://mysmartshop.de/products/demo-sm099,Demo Produkt SM099,https://loremflickr.com/800/800/technology?lock=99,Messtechnik > Gateways,288.02,331.22,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=99,true
SM100,GRP_20,https://mysmartshop.de/products/demo-sm100,Demo Produkt SM100,https://loremflickr.com/800/800/technology?lock=100,Messtechnik > Gateways,273.24,314.23,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=100,false
